web-scraper-order,web-scraper-start-url,subject,title,comment_number,description,pagination,pagination-href
"1541625629-2169","https://www.nogomania.com/Novice.aspx","Evropske lige","Martial ostaja v načrtih Manchester Uniteda","14","Vodstvo Manchester Uniteda je v pogovorih s predstavniki Anthonyja Martiala za podpis nove dolgoročne pogodbe. Igralec je še nedavno želel oditi.","","https://www.nogomania.com/Novice.aspx?pid=150"
"1541625380-1657","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Aubameyangov oče je postal selektor","0","Pierre-Emerick Aubameyang je v reprezentanci Gabona dobil novega selektorja, to pa je postal kar njegov oče. Zamenjal je Španca Joseja Antonia Camacha.","","https://www.nogomania.com/Novice.aspx?pid=105"
"1541625323-1528","https://www.nogomania.com/Novice.aspx","Evropske lige","Domžale odločno krenile v drugo četrtino","2","Nogometaši Domžal so na prvi tekmi 10. kroga državnega prvenstva v gosteh kar s 4:0 razbili Krško in po neprepričljivem uvodu napovedali boljše čase. Senijad Ibričić dvakrat uspešen z bele točke.","","https://www.nogomania.com/Novice.aspx?pid=93"
"1541625733-2392","https://www.nogomania.com/Novice.aspx","Evropske lige","Nesrečni Karius na poti v Bešiktaš","11","Turški mediji poročajo, da je Bešiktaš sklenil dogovor z Liverpoolom za dveletno posojo velikega osmoljenca finalne tekme lige prvakov Lorisa Kariusa.","","https://www.nogomania.com/Novice.aspx?pid=169"
"1541625131-1206","https://www.nogomania.com/Novice.aspx","Evropske lige","Zagrebški Dinamo trepeta pred UEFA","1","UEFA je sprožila disciplinski postopek proti Dinamu, ker so navijači v Bruslju prižigali pirotehniko, se pretepali in izobesili neprimerne transparente. Grozi zaprtje Maksimira.","","https://www.nogomania.com/Novice.aspx?pid=65"
"1541624964-703","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Video: Ožboltov fantastičen prvenec","0","Alen Ožbolt je bil v Bolgariji doslej obsojen le na drobtinice, a je zdaj izkoristil priložnost in nase opozoril z izjemnim prvencem. Več v videu.","","https://www.nogomania.com/Novice.aspx?pid=21"
"1541626416-3835","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Žreb: Olimpija bo igrala s Qarabagom","68","Na žrebu v Nyonu je Olimpija za nasprotnika v prvem kvalifikacijskem krogu za uvrstitev v ligo prvakov dobila Qarabag iz Azerbajdžana. Slovenski prvak bo prvo tekmo odigral doma.","","https://www.nogomania.com/Novice.aspx?pid=295"
"1541625758-2452","https://www.nogomania.com/Novice.aspx","Evropske lige","Zenitu uspel preobrat za anale","3","Zenit iz Sankt Peterburga je pred praznim stadionom in z igralcem manj poskrbel za največji preobrat v evropski ligi oziroma pokalu UEFA po kar 33 letih.","","https://www.nogomania.com/Novice.aspx?pid=174"
"1541625462-1835","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=120"
"1541625131-1202","https://www.nogomania.com/Novice.aspx","Evropske lige","Reški Sir Matjaž Kek","14","Le pokojni dr. Branko Elsner je s svojim trenerskim delom v tujini pustil tako trajen in neizbrisen pečat, kot ga po dobrih petih letih reške pravljice z nesrečnim koncem za seboj pušča Matjaž Kek.","","https://www.nogomania.com/Novice.aspx?pid=65"
"1541624946-612","https://www.nogomania.com/Novice.aspx","Evropske lige","Pogba: Torino je moj dom","11","Francoski zvezdnik Paul Pogba je z izbranimi besedami govoril o svojem nekdanjem klubu Juventusu, ki ga bo prihodnji tedni v sklopu skupinskega dela lige prvakov obiskal kot član Manchester Uniteda.","","https://www.nogomania.com/Novice.aspx?pid=13"
"1541625127-1190","https://www.nogomania.com/Novice.aspx","Evropske lige","Nogometna hiša slavnih je bogatejša za veliko ime","6","Beckham, Gerrard, Alex Ferguson, Alan Shearer in Pele so že v legendarni nogometni hiši slavnih, zdaj pa jim bo družbo delal angleški nogometni velikan.","","https://www.nogomania.com/Novice.aspx?pid=64"
"1541624984-807","https://www.nogomania.com/Novice.aspx","Evropske lige","Barcelona prizemljila nemočni Inter","24","Odsotnost Lionela Messija se Barceloni ni pretirano poznala, če pa bi Interju manjkal Samir Handanović, pa vprašanje, kako bi bilo. Katalonci so zanesljivo odpravili italijanskega velikana.","","https://www.nogomania.com/Novice.aspx?pid=30"
"1541625991-2955","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Bellarabi padel skupaj na prijateljski tekmi","0","Nogometaš Bayerja iz Leverkusna Karim Bellarabi je na prijateljski tekmi proti Wuppertalerju po menjavi izgubil zavest. Ko je prišel k sebi, je bil prepeljan v bolnišnico.","","https://www.nogomania.com/Novice.aspx?pid=218"
"1541625014-916","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Maribor je v Novi Gorici kot doma","2","Novo gostovanje v Novi Gorici, nova visoka zmaga. Maribor je kot kaže dobro izkoristil reprezentančni premor, še posebej dobro pa se je odzval napadalec, ki je dobil priložnost po poškodbi Jana Mlakarja.","","https://www.nogomania.com/Novice.aspx?pid=40"
"1541625803-2529","https://www.nogomania.com/Novice.aspx","Evropske lige","Balde okrepil ambiciozni Inter","5","Inter iz Milana je svoji vse bolj zvezdniški ekipi dodal še odličnega Senegalca Keito Baldeja, ki se po zgolj eni sezoni pri Monacu vrača v Serie A. Končna vrednost prestopa bi lahko znašala 39 milijonov evrov.","","https://www.nogomania.com/Novice.aspx?pid=181"
"1541626293-3589","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Uradno: Putinčanin v Olimpiji","8","Pri Olimpiji so potrdili že napovedan prihod srbskega nogometaša Marka Putinčanina, ki prihaja iz Vojvodine. Tridesetletni Putinčanin lahko igra na sredini igrišča in tudi na desnem boku.","","https://www.nogomania.com/Novice.aspx?pid=274"
"1541625370-1636","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Ibrahimović ne ve, če bo ostal v ZDA","3","Švedski superzvezdnik Zlatan Ibrahimović je priznal, da še ni sprejel odločitve o tem, ali bo svoje bivanje v Kaliforniji podaljšal še za leto dni.","","https://www.nogomania.com/Novice.aspx?pid=103"
"1541626207-3413","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=258"
"1541624993-850","https://www.nogomania.com/Novice.aspx","Evropske lige","Icardi: Brez Messija smo enakovredni Barceloni","27","Zvezdnik Interja Mauro Icardi obžaluje, da njegov rojak Lionel Messi ne bo zaigral na jutrišnjem derbiju lige prvakov proti Barceloni, a hkrati ocenjuje, da brez Messija med Barcelono in Interjem ni razlik.","","https://www.nogomania.com/Novice.aspx?pid=34"
"1541625753-2438","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","David Luiz, dobrodošel nazaj","1","Chelsea je začel novo sezono, pred tem zamenjal trenerja, znova pa sklenil poizkusiti z Davidom Luizom, v katerem Maurizio Sarri vidi pomembnega nogometaša. Bo Brazilec s plusi uspel prekriti svoje minuse?","","https://www.nogomania.com/Novice.aspx?pid=173"
"1541625467-1842","https://www.nogomania.com/Novice.aspx","Evropske lige","Carrasco že načrtuje povratek v Evropo","5","Belgijski zvezdnik Yannick Carrasco bo kot vse kaže naslednje veliko ime, ki bo hitro zaključilo epizodo v kitajskem nogometu. Njegov agent trdi, da bo v prihodnje bržčas igral v Italiji.","","https://www.nogomania.com/Novice.aspx?pid=121"
