web-scraper-order,web-scraper-start-url,subject,title,comment_number,description,pagination,pagination-href
"1541625533-1974","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Slovenija: Kako so igrali","30","Za slovensko reprezentanco je še en turoben večer, ki je še dodatno poglobil njen že tako močno načet ugled. V pozitivnem smislu sta izstopala le Kevin Kampl in Miha Zajc.","","https://www.nogomania.com/Novice.aspx?pid=133"
"1541625244-1369","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=79"
"1541626268-3529","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Rijeka prodala Črnica Olimpiji!","10","Osrednji reški časnik Novi list je danes objavil, da Rijeko zapušča slovenski krilni napadalec Matic Črnic in da bo kariero nadaljeval pri ljubljanski Olimpiji. Odškodnina okoli 250.000 evrov.","","https://www.nogomania.com/Novice.aspx?pid=269"
"1541624939-575","https://www.nogomania.com/Novice.aspx","Evropske lige","Video: Leicester združen za Vichaija","0","Oglejte si ganljive prizore z včerajšnje tekme v Cardiffu, po kateri so se nogometaši Leicester Cityja skupaj z navijači in člani osebja priklonimi tragično preminulemu predsedniku in lastniku kluba.","","https://www.nogomania.com/Novice.aspx?pid=10"
"1541625518-1949","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=130"
"1541625917-2777","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Max Meyer podpisal za Crystal Palace","10","Angleški Crystal Palace je uradno predstavil Maxa Meyerja, nemškega nogometaša, ki se je v London kot prost igralec podal iz vrst Schalkeja.","","https://www.nogomania.com/Novice.aspx?pid=203"
"1541626377-3761","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Rebić na radarju Tottenhama","5","Uspešna sezona v klubu in odlična forma na mundialu sta razlog, zakaj hrvaški napadalec Ante Rebić postaja vse bolj vroče ime na nogometni tržnici. Zanj se resno zanima angleški Tottenham.","","https://www.nogomania.com/Novice.aspx?pid=289"
"1541625803-2533","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=181"
"1541625654-2232","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Rekorden prestop Hodžića, ne Zahovića","13","Madžarski Videoton je poskrbel za najdražji prestop v madžarski ligi. Za kar 2,2 milijona evrov je pripeljal napadalca Dinama Armina Hodžića, pred tem pa zavrnil možnost, da bi pripeljal Luko Zahovića.","","https://www.nogomania.com/Novice.aspx?pid=155"
"1541625704-2330","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Havertz je največji talent po Kroosu","6","Kdo je nemški talent in kdo ga brusi? Če bi vprašali trenerja Heika Herrlicha, ki vodi Bayer, potem ga prav klub iz Leverkusna. Talent je Kai Havertz.","","https://www.nogomania.com/Novice.aspx?pid=164"
"1541626150-3299","https://www.nogomania.com/Novice.aspx","Evropske lige","Ronaldo: Klub sem prosil, naj me proda","26","Cristiano Ronaldo je v svojem poslovilnem pismu navedel razloge za slovo od Reala iz Madrida in priznal, da je po devetih letih v Madridu potreboval nov izziv. Od Reala se poslavlja z največjim možnim spoštovanjem.","","https://www.nogomania.com/Novice.aspx?pid=248"
"1541626338-3682","https://www.nogomania.com/Novice.aspx","Evropske lige","Real Madrid spremlja Quintera","0","Eden najboljših kolumbijskih nogometašev na mundialu v Rusiji Juan Quintero se je znašel na radarju madridskega Reala. Kolumbijec bi lahko zamenjal Matea Kovačića.","","https://www.nogomania.com/Novice.aspx?pid=282"
"1541625280-1436","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Video: Kašnik v slogu velemojstrov","1","Branilec Rudarja iz Velenja David Kašnik je zmagoviti zadetek proti Domžalam dosegel na način, ki se ga ne bi sramovali niti največji velemojstri izvajanja prostih strelov.","","https://www.nogomania.com/Novice.aspx?pid=85"
"1541625027-937","https://www.nogomania.com/Novice.aspx","Evropske lige","Barcelona: O Neymarju niti besede","1","Podpredsednik Barcelone Jordi Cardoner je demantiral poročanje katalonskih medijev, češ da vodstvo kluba razmišlja o povratku Neymarja, a istočasno tej zamisli tudi ni povsem zaprl vrat.","","https://www.nogomania.com/Novice.aspx?pid=42"
"1541624995-861","https://www.nogomania.com/Novice.aspx","Evropske lige","EPL: Arsenal slavil že desetič zapovrstjo","42","Arsenal niza zmago za zmago in kaže potencial ekipe, ki bi lahko v nasprotju s pričakovanji krojila vrh lestvice angleške Premier League. Zablestel Pierre-Emerick Aubameyang.","","https://www.nogomania.com/Novice.aspx?pid=35"
"1541625947-2855","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=209"
"1541625569-2060","https://www.nogomania.com/Novice.aspx","Evropske lige","Sarri-ball že deluje","21","Chelsea je pod vodstvom novega trenerja Maurizia Sarrija takoj povsem spremenil svoj slog igre. V Italiji znameniti Sarri-ball so zdaj spoznali tudi v Premier League. Angleži so navdušeni.","","https://www.nogomania.com/Novice.aspx?pid=140"
"1541626334-3673","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Shaqiri in Xhaka denarno kaznovana","10","FIFA je Granita Xhako, Xherdana Shaqirija in Stephana Lichtsteinerja denarno kaznovala zaradi provokativnega slavja zadetkov na tekmi proti Srbiji. Kaznovan je tudi srbski selektor Mladen Krstajić.","","https://www.nogomania.com/Novice.aspx?pid=281"
"1541625829-2587","https://www.nogomania.com/Novice.aspx","Evropske lige","Modrić bo padel v Ramosov razred","13","Hrvaški zvezdnik Luka Modrić se je kot kaže le omehčal. Kraljevi klub naj bi ustregel njegovim finančnim pričakovanjem in poskrbel, da bo njegova plača odslej izenačena s plačo kapetana moštva Sergia Ramosa.","","https://www.nogomania.com/Novice.aspx?pid=186"
"1541625064-1048","https://www.nogomania.com/Novice.aspx","Evropske lige","Manchester United ima načrt s Shawom","3","To sezono je Luke Shaw premagal pretekle težave s poškodbami in nestanovitno formo, zaradi katerih je v štirih letih odigral le 75 tekem. V klubu so nad tem navdušeni.","","https://www.nogomania.com/Novice.aspx?pid=51"
"1541625355-1602","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Bezjak za zmago vodilne Jagiellonie","2","Jagiellonia vodi v poljskem prvenstvu, v devetem krogu je premagala Gornik Zabrze, pot do zmage pa je tlakoval Roman Bezjak. S štirimi goli je četrti strelec lige.","","https://www.nogomania.com/Novice.aspx?pid=100"
"1541625678-2279","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Video: Pjanićev precizni ""pol volej""","2","Miralem Pjanić je eden najboljših strelcev v Italiji, ko gre za zadetke, ki jih igralci dosegajo z udarci izven kazenskega prostora. Danes je zadel za vodstvo Juventusa proti Laziu.","","https://www.nogomania.com/Novice.aspx?pid=159"
"1541624941-591","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=11"
"1541625445-1799","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Milanič: Manj smo divjali in to se je obrestovalo","0","Trener Maribora Darko Milanič je bil  zadovoljen nad taktično izvedbo načrta v Krškem, kjer je po njegovh besedah Maribor načrtno igral nekoliko bolj zadržano in potrpežljivo.","","https://www.nogomania.com/Novice.aspx?pid=117"
"1541625332-1549","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Neprofesionalni Ozil zavrnil pogovor z Lowom","8","Nemški selektor Joachim Low je obiskal Arsenal, da bi se, med drugim, pogovoril z Mesutom Ozilom, toda slednji je njegovo pobudo preprosto ignoriral.","","https://www.nogomania.com/Novice.aspx?pid=95"
"1541624980-782","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=28"
"1541624995-855","https://www.nogomania.com/Novice.aspx","Evropske lige","Thiago v Barceloni? To bi bilo super","3","Rafinha priznava. da ga je odločitev milanskega Interja, ki ni izkoristil opcije za odkup njegove pogodbe od Barcelone, presenetila. Bo zdaj znova zaigral skupaj z bratom Thiagom?","","https://www.nogomania.com/Novice.aspx?pid=35"
"1541625003-891","https://www.nogomania.com/Novice.aspx","Evropske lige","Lopeteguijev naslednik že v hiši?","6","Marca poroča, da bi trener Reala iz Madrida Julen Lopetegui lahko že nocoj ostal brez službe, favorit za njegovo nasledstvo pa je trenutno že zaposlen v kraljevem klubu.","","https://www.nogomania.com/Novice.aspx?pid=38"
"1541625725-2385","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=168"
"1541625318-1511","https://www.nogomania.com/Novice.aspx","Evropske lige","Juventus najboljše po 88 letih","1","Juventus iz Torina vse od sezone 1930/31 naprej prvenstva ni začel s šestimi zaporednimi zmagami. Zebre so pred prvim velikim derbijem sezone proti Napoliju v vrhunski formi.","","https://www.nogomania.com/Novice.aspx?pid=92"
"1541625917-2780","https://www.nogomania.com/Novice.aspx","Evropski pokali","V Glasgowu so peli tudi noži","14","Pred začetkom tekme med Rangersom in Osijekom je v Glasgowu prišlo do spopada med navijači obeh klubov, pri čemer sta bila dva navijača Osijeka zabodena.","","https://www.nogomania.com/Novice.aspx?pid=203"
"1541624962-693","https://www.nogomania.com/Novice.aspx","Evropske lige","Pique: Barcelona je boljša kot kdajkoli","13","Gerard Pique je ponovil gesto iz leta 2010, prav tako z El Clasica, v zrak je dvignil roko in pokazal pet prstov. Nad močjo Barcelone je navdušen, sploh, ker ima še veliko rezervo v poškodovanem Lionelu Messiju.","","https://www.nogomania.com/Novice.aspx?pid=20"
"1541626252-3505","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Video: Hrvaško slavje na avtobusu","4","""Ni vse v denarju,"" se glasi slovenski prevod znamenite hrvaške pesmi, ki so jo na avtobusu po zmagi nad Dansko prepevali hrvaški nogometaši. Več v videu.","","https://www.nogomania.com/Novice.aspx?pid=267"
"1541625642-2191","https://www.nogomania.com/Novice.aspx","Evropske lige","Reja se vrača v Napoli","0","Italijanski trener slovenskega porekla Edy Reja se vrača v Napoli, kjer bo prevzel vlogo nadzornika mladinskega pogona v klubu. V Napoliju je v vlogi trenerja deloval kar štiri leta.","","https://www.nogomania.com/Novice.aspx?pid=152"
"1541625164-1247","https://www.nogomania.com/Novice.aspx","Evropske lige","Real Madrid: Najhujša suša po letu 1985","53","Poraz v baskovski Vitorii je potrdil krizo trikratnega zaporednega evropskega prvaka Reala iz Madrida, ki se je trenutno znašel sredi niza, ki se mu je v 116-letni zgodovini kluba pripetil recin in piši le dvakrat.","","https://www.nogomania.com/Novice.aspx?pid=69"
"1541626252-3515","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Modrić: Želimo ponoviti uspeh generacije 1998","6","Kapetan hrvaške reprezentance Luka Modrić je prepričan, da lahko Hrvaška ponovi nepozaben podvig »vatrenih« iz 1998, ki so se uvrstili v polfinale SP.","","https://www.nogomania.com/Novice.aspx?pid=267"
"1541626252-3516","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=267"
"1541624939-579","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=10"
"1541625323-1529","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=93"
"1541626052-3082","https://www.nogomania.com/Novice.aspx","Evropske lige","Sarrijev pomočnik bo Zola","8","Maurizio Sarri si je za pomočnika pri Chelseaju izbral Gianfranca Zolaja, ki je igralska legenda kluba. Zola je nazadnje treniral Birmingham City.","","https://www.nogomania.com/Novice.aspx?pid=229"
"1541626035-3046","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Semedo iz zapora v nov klub","4","Ruben Semedo je zapustil zapor, a ne bo igral za Villarreal. Slednji ga je posodil novopečenemu prvoligašu Huesci, pri katerem se bo branilec skušal spraviti v red.","","https://www.nogomania.com/Novice.aspx?pid=226"
"1541624950-631","https://www.nogomania.com/Novice.aspx","Evropske lige","Nemška titana sta tarčo našla v Franciji","0","Borussia Dortmund in Bayern se prerivata v gneči klubov, ki so se zagledali v pomembnega nogometaša francoskega velikana Olympiquea iz Marseilla.","","https://www.nogomania.com/Novice.aspx?pid=15"
"1541625127-1189","https://www.nogomania.com/Novice.aspx","Evropske lige","Če bodo težave z Valverdejem, bom govoril z njim","9","Selitev v reprezentančni tabor so izkoristili mediji, ki so Artura Vidala prestregli v Miamiju in ga povprašali o žolčnem tvitu, ki ga je vezist Barcelone že izbrisal.","","https://www.nogomania.com/Novice.aspx?pid=64"
"1541625152-1239","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","""Kek je človek s hrbetnico in dostojanstvom!""","0","Navijači Rijeke so z velikim razočaranjem sprejeli novico o odstopu Matjaža Keka, še posebej tople besede pa je nekdanjemu selektorju slovenske reprezentance namenil predsednik navijaške skupine Armada.","","https://www.nogomania.com/Novice.aspx?pid=68"
"1541625625-2165","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Oblak: Prvi madež v brezmadežni karieri","34","Odsotnost Jana Oblaka dopušča veliko interpretacij, ena najmanj prijetnih je ta, da ga slovenska izbrana vrsta v tem trenutku ne zanima. Na to napeljuje hladen način komunikacije, ki poteka kar preko njegovega kluba.","","https://www.nogomania.com/Novice.aspx?pid=149"
"1541625938-2823","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Barcelona je Digneja prodala Evertonu","9","Pri Evertonu so uradno potrdili nakup dosedanjega nogometaša Barcelone Lucasa Digneja. Levi bočni branilec, ki je ostal brez nastopa na mundialu v Rusiji, se v Premier League seli za 20 milijonov evrov.","","https://www.nogomania.com/Novice.aspx?pid=207"
"1541625794-2511","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Mandžukić nikoli več za Hrvaško","14","Hrvaški navijači so danes doživeli neprijetno presenečenje. Odlični napadalec Mario Mandžukić je preko socialnih omrežij sporočil, da po enajstih letih zaključuje svojo nepozabno reprezentančno pot.","","https://www.nogomania.com/Novice.aspx?pid=180"
"1541625328-1531","https://www.nogomania.com/Novice.aspx","Evropske lige","Correa do leta 2024 pri Atleticu","0","Atletico iz Madrida je podaljšal pogodbo z Argentincem Angelom Correo, ki je na poti k temu, da pri madridskem velikanu preživi debelo desetletje svoje kariere.","","https://www.nogomania.com/Novice.aspx?pid=94"
"1541626358-3724","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Costa me je sramotno žalil celo tekmo!","6","Iranski branilec Morteza Pourilangji je razkril, da ga je španski zvezdniški napadalec Diego Costa verbalno žalil skozi celotno tekmo in ga na vsak način skušal vreči iz tira.","","https://www.nogomania.com/Novice.aspx?pid=286"
"1541625476-1862","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Advocaat še nima dovolj, prevzel je Utrecht","0","Po Guusu Hiddinku je trenersko kariero te dni znova zagnal še en izkušeni nizozemski trener. Dick Advocaat bo vodil Utrecht. V karieri je vodil številne klube in reprezentance.","","https://www.nogomania.com/Novice.aspx?pid=123"
"1541625714-2357","https://www.nogomania.com/Novice.aspx","Evropske lige","Delije navijale pred stadionom","3","Zaradi kazni Uefe je Crvena Zvezda včeraj s Slazburgom igrala pred prazno Marakano. A navijači vendarle ekipe niso pustili same, navijali so pred južno tribuno stadiona.","","https://www.nogomania.com/Novice.aspx?pid=166"
"1541625401-1710","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=109"
"1541624937-561","https://www.nogomania.com/Novice.aspx","Evropske lige","Mamić nič več v Dinamu? To je fake news","0","Hrvaška državna televizija HRT je danes postregla z odmevno novico, da najbolj znani hrvaški ubežnik Zdravko Mamić tudi uradno ni več član kluba.","","https://www.nogomania.com/Novice.aspx?pid=9"
"1541626213-3424","https://www.nogomania.com/Novice.aspx","Evropske lige","Vratar Basla Vaclik podpisal za Sevillo","0","Španska Sevilla je sklenila triletno pogodbo z vratarjem češke reprezentnace Tomasom Vaclikom, ki se v Andaluzijo seli po štirih uspešnih sezonah med vratnicama švicarskega Basla.","","https://www.nogomania.com/Novice.aspx?pid=259"
"1541626268-3538","https://www.nogomania.com/Novice.aspx","Evropske lige","Juventus: Novi pogodbi za Barzaglija in Chiellinija","5","Iz vodstva italijanskega velikana Juventusa so sporočili, da sta izkušna branilca Andrea Barzagli in Giorgio Chiellini podpisala novi pogodbi. Prvi bo v klubu ostal do leta 2019, drugi do 2020.","","https://www.nogomania.com/Novice.aspx?pid=269"
"1541626218-3434","https://www.nogomania.com/Novice.aspx","Evropske lige","Depay kaznovan, ker je zamudil prvi trening","1","Nizozemski zvezdnik Memphis Depay si je nakopal jezo vodstva Lyona, ker je brez pojasnil zamudil na zbor ekipe na pripravah pred pričetkom nove sezone.","","https://www.nogomania.com/Novice.aspx?pid=260"
"1541625280-1430","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Video: Neverjeten avtogol Vukovića","0","Srbski nogometaš Jagoš Vuković je na grškem derbiju med Olympiakosom in PAOK-om ob obilici smole zabil avtogol, s katerim je ekipa iz Soluna slavila v Pireju.","","https://www.nogomania.com/Novice.aspx?pid=85"
"1541625445-1795","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Nogometaši so morali potisniti rešilni avto","0","Reševalni avto bi moral poškodovanega nogometaša Vasca da Game odpeljati v bolnišnico, a ni vžgal. Nogometaši Flamenga in Vasca da Game so ga družno potisnili, potem je pa šlo.","","https://www.nogomania.com/Novice.aspx?pid=117"
"1541624950-626","https://www.nogomania.com/Novice.aspx","Evropske lige","Peticija za tekmo La Lige v Miamiju","4","Ameriški navijači so začeli z viralno peticijo imenovano #BringUSthegame, s katero želijo pristojne instutucije prepričati v izvedbo tekme, ki v Španiji že mesece buri duhove.","","https://www.nogomania.com/Novice.aspx?pid=15"
"1541625406-1718","https://www.nogomania.com/Novice.aspx","Evropske lige","Zlata generacija iz Barija pozdravila Marakano","5","Pred tekmo Crvena zvezda - Napoli je na zelenico Marakane stopila zlata generacija kluba, ki je leta 1991 v Bariju osvojila naslov evropskega prvaka. Pokal sta prinesla Mihajlović in Savičević.","","https://www.nogomania.com/Novice.aspx?pid=110"
"1541625418-1741","https://www.nogomania.com/Novice.aspx","Evropske lige","Douglasu Costi štiri tekme prepovedi igranja","4","Brazilski nogometaš Juventusa Douglas Costa se bo zaradi udarca z glavo in komolcem ter pljunka v obraz Federicu Di Francescu hladil na štirih tekmah pod okriljem italijanske nogometne zveze.","","https://www.nogomania.com/Novice.aspx?pid=112"
"1541625907-2757","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Afrika je dobila svoj City","6","V Egiptu so to poletje dobili klub, ki postaja Manchester City črne celine. V zgolj tednu dni po prihodu novega lastnika iz Savdske Arabije je dobil novo ime, za okrepitve pa je zapravil kar 40 milijonov dolarjev.","","https://www.nogomania.com/Novice.aspx?pid=201"
"1541626228-3458","https://www.nogomania.com/Novice.aspx","Evropske lige","Pri Atleticu navijačem predali stole s starega stadiona","0","Navijači madridskega Atletica, tisti s sezonskimi vstopnicami, so za spomin na številne nepozabne večere brezplačno prejeli svoje sedeže s starega stadiona Vicente Calderon.","","https://www.nogomania.com/Novice.aspx?pid=262"
"1541625619-2144","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Luis Enrique prečrtal Albo, Vazqueza in Kokeja","6","Novi španski selektor Luis Enrique je objavil svoj prvi seznam po prevzemu vodenja izbrane vrste. Na njem ni sedmerice iz mundiala, najbolj preseneča odsotnost branilca Barcelone Jordija Albe.","","https://www.nogomania.com/Novice.aspx?pid=148"
"1541625000-888","https://www.nogomania.com/Novice.aspx","Evropske lige","Ligue 1: Beriću prvi štart, ki pa se je hitro končal","2","Slovenski reprezentant Robert Berić je prvič v letošnji sezoni v svojem klubu dobil priložnost v začetni enajsterici, a je svoj nastop proti Rennesu vseeno hitro končal. Montpellier še naprej navdušuje.","","https://www.nogomania.com/Novice.aspx?pid=37"
"1541625963-2886","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Mertelj podpisal pogodbo na Češkem","1","Občasni slovenski reprezentant Aleš Mertelj po izteku pogodbe z Mariborom prvič okuša igranje v tujini. Podpisal je pogodbo s češkim prvoligašem MFK Karvino.","","https://www.nogomania.com/Novice.aspx?pid=212"
"1541625590-2092","https://www.nogomania.com/Novice.aspx","Evropske lige","La Liga: Magija se je vrnila na Nou Camp","33","Barcelona je na Nou Campu bruhala ogenj in novinko v ligi Huesco razbila z neverjetnih 8:2. Katalonci so zmagali še tretjič zapovrstjo in z najboljšo razliko v zadetkih trenutno vodijo na lestvici La Lige.","","https://www.nogomania.com/Novice.aspx?pid=143"
"1541625032-953","https://www.nogomania.com/Novice.aspx","Evropske lige","Prav je, da Tottenham ni kupoval","4","Tottenham je bil na poletni tržnici zelo zadržan in ni kupil nikogar. Zdaj, ko si je ekipa privoščila nekaj spodrsljajev, pa je prav to močan očitek kritikov.","","https://www.nogomania.com/Novice.aspx?pid=43"
"1541626413-3821","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Pravilno je, da je selektor Kalinića poslal domov","3","Strokovni komentator na hrvaški televiziji Joško Jeličić se strinja s potezo hrvaškega selektorja Zlatka Dalića, ki je z mundiala domov poslal napadalca Nikolo Kalinića.","","https://www.nogomania.com/Novice.aspx?pid=294"
"1541625674-2266","https://www.nogomania.com/Novice.aspx","Evropske lige","Sirk s hat-trickom na čelo lestvice strelcev","2","Mura je po dveh zaporednih porazih danes s 3:2 premagala Aluminij iz Kidričevega, junak zmage pa je bil napadalec Rok Sirk, ki se je s hat-trickom zavihtel na čelo lestvice strelcev.","","https://www.nogomania.com/Novice.aspx?pid=158"
"1541626421-3837","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Prva liga se vrača na nacionalno televizijo","21","Slovenska prva nogometna liga bo v novi sezoni znova domovala na nacionalni televiziji, ki si je zagotovila pravice za prenašanje tekem. Tekme bo prenašala tudi Planet TV.","","https://www.nogomania.com/Novice.aspx?pid=296"
"1541624998-876","https://www.nogomania.com/Novice.aspx","Evropske lige","Mevlja že dva meseca sedi na klopi","0","Nova realnost Mihe Mevlje v Zenitu je klop za rezervne nogometaše. Zenit kljub porazu v ligi še naprej vodi. Spartak Moskva je zamenjal trenerja.","","https://www.nogomania.com/Novice.aspx?pid=36"
"1541626072-3119","https://www.nogomania.com/Novice.aspx","Evropske lige","Mourinho: Serie A bo zdaj najbolj pomembna liga","18","S prihodom Cristiana Ronalda v Juventus se po mnenju Joseja Mourinha italijanska liga spreminja. Prepričan je, da bo postala najbolj pomembna liga na svetu.","","https://www.nogomania.com/Novice.aspx?pid=233"
"1541625636-2181","https://www.nogomania.com/Novice.aspx","Evropske lige","Uradno: Mariano se je vrnil k Realu","9","Real iz Madrida in Lyon sta danes sklenila dogovor za prestop napadalca Mariana Diaza, ki se tako po 14 mesecih vrača v svoj matični klub. Aktualni evropski prvaki bodo zanj plačali približno 16 milijonov evrov.","","https://www.nogomania.com/Novice.aspx?pid=151"
"1541625893-2728","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=198"
"1541624984-803","https://www.nogomania.com/Novice.aspx","Evropske lige","Salah v rekordnem času do Liverpoolovega mejnika","1","Mohamed Salah je mož, ki je v zadnjih sezonah močno odstopal od povprečja, z učinkovitimi predstavami pa je pogosto deležen velike pozornosti. Zdaj je postal rekorder Liverpoola v še eni od kategorij.","","https://www.nogomania.com/Novice.aspx?pid=30"
"1541625440-1784","https://www.nogomania.com/Novice.aspx","Evropske lige","Ligue 1: PSG ima že pet točk prednosti","7","Paris Saint Germain ima po petih krogih francoskega prvenstva ob maksimalnem možnem izkupičku že pet točk prednosti pred najbližjimi zasledovalci. Bordeaux po remiju proti Nimesu še naprej predzadnji.","","https://www.nogomania.com/Novice.aspx?pid=116"
"1541625674-2264","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Video: Jokić je videl rdeče","4","Kapetan slovenske reprezentance Bojan Jokić je na srečanju ruskega prvenstva proti Zenitu z glavo udaril Aleksandra Erokina, zaradi česar mu grozi daljša prepoved igranja.","","https://www.nogomania.com/Novice.aspx?pid=158"
"1541624932-538","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Kosić: Kaznoval nas je mednarodni Maribor","2","Celjani so videli, kaj se zgodi, če na njihov slab dan v goste pride organizirana, izkušena in kakovostna ekipa. Dušan Kosić je prejel lekcijo ""mednarodnega Maribora"".","","https://www.nogomania.com/Novice.aspx?pid=7"
"1541625127-1192","https://www.nogomania.com/Novice.aspx","Evropske lige","Velik alarm za Bundesligo","23","Nemška Bundesliga izgublja stik s tremi najmočnejšimi ligami v Evropi, to pa dokazuje tudi seznam 30 najboljših nogometašev na svetu po izboru ugledne francoske revije France Football, ki podeljuje Zlato žogo.","","https://www.nogomania.com/Novice.aspx?pid=64"
"1541625952-2863","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Portugalci evropski prvaki v kategoriji U19","8","Trikrat je v preteklosti izgubila finale, v četrtem poizkusu pa je talentirana portugalska reprezentanca do 19 let le uspela osvojiti naslov evropskega prvaka. V finalu je Italijo strla po podaljških.","","https://www.nogomania.com/Novice.aspx?pid=210"
"1541625865-2664","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Jordi Cruyff drugič na trenersko pot","0","Po sezoni na klopi Maccabija iz Tel Aviva je Jordiju Cruyffu trenersko delo postalo tako všeč, da se mu je posvetil v celoti. Opustil je direktorsko funkcijo in si službo zdaj našel na Kitajskem.","","https://www.nogomania.com/Novice.aspx?pid=193"
"1541626218-3433","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Marca: Ronaldo že išče rezidenco v Torinu","30","Španski časnik Marca poroča, da portugalski superzvezdnik Cristiano Ronaldo že dva tedna intenzivno išče rezidenco v Torinu. Govorice o njegovem slovesu še nikoli niso bile tako vroče kot v teh dneh.","","https://www.nogomania.com/Novice.aspx?pid=260"
"1541626358-3728","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Matić sojenje Brycha označil za katastrofalno","14","Vezist Manchester Uniteda Nemanja Matić je skrajno nezadovoljen s sojenjem nemškega sodnika Felixa Brycha, ki je z malenkostmi v prid Švice vplival na potek tekme.","","https://www.nogomania.com/Novice.aspx?pid=286"
"1541625056-1026","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=49"
"1541625604-2122","https://www.nogomania.com/Novice.aspx","Evropske lige","Betis je ujel Giovannija Lo Celsa","7","Betis iz Seville je na zadnji dan prestopnega roka ujel veliko ribo in sicer izjemno nadarjenega argentinskega vezista Giovannija Lo Celsa, ki se v Andaluzijo seli iz Paris Saint Germaina.","","https://www.nogomania.com/Novice.aspx?pid=146"
"1541625244-1359","https://www.nogomania.com/Novice.aspx","Evropske lige","Kovač se želi vrniti k osnovam","3","Bayernu ne gre. Po tretji zaporedni tekmi brez zmage trener Niko Kovač ugotavlja, da se mora njegovo moštvo vrniti k osnovam, če želi znova izgledati tako, kakor je izgledalo na začetku sezone.","","https://www.nogomania.com/Novice.aspx?pid=79"
"1541625175-1264","https://www.nogomania.com/Novice.aspx","Evropske lige","Komentiranje sodnikov v Angliji veliko stane","1","Tarifa za komentiranje dela sodnika, če ste trener, je v Anglija sila neugodna. To je na lastni koži spoznal sicer na tem področju že kar izkušeni Rafael Benitez.","","https://www.nogomania.com/Novice.aspx?pid=70"
"1541625207-1299","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=73"
